Obs,ICD10,ICD10 Label,Code Valid in FY2016 (10/1/15 - 9/30/16),"FY2015 MCE Age Condition [use AGE_AT_ DIAGNOSIS]",FY2015 MCE Sex Condition,"CC Age Split  [use AGE_LAST]",CC Sex Split,CC,Additional CC,Footnote
3953,M05331,Rheumatoid heart disease with rheumatoid arthritis of right wrist,Y,,,,,56,,
3954,M05332,Rheumatoid heart disease with rheumatoid arthritis of left wrist,Y,,,,,56,,
3955,M05339,Rheumatoid heart disease with rheumatoid arthritis of unspecified wrist,Y,,,,,56,,
3956,M05341,Rheumatoid heart disease with rheumatoid arthritis of right hand,Y,,,,,56,,
3957,M05342,Rheumatoid heart disease with rheumatoid arthritis of left hand,Y,,,,,56,,
3958,M05349,Rheumatoid heart disease with rheumatoid arthritis of unspecified hand,Y,,,,,56,,
3959,M05351,Rheumatoid heart disease with rheumatoid arthritis of right hip,Y,,,,,56,,
3960,M05352,Rheumatoid heart disease with rheumatoid arthritis of left hip,Y,,,,,56,,
3961,M05359,Rheumatoid heart disease with rheumatoid arthritis of unspecified hip,Y,,,,,56,,
3962,M05361,Rheumatoid heart disease with rheumatoid arthritis of right knee,Y,,,,,56,,
3963,M05362,Rheumatoid heart disease with rheumatoid arthritis of left knee,Y,,,,,56,,
3964,M05369,Rheumatoid heart disease with rheumatoid arthritis of unspecified knee,Y,,,,,56,,
3965,M05371,Rheumatoid heart disease with rheumatoid arthritis of right ankle and foot,Y,,,,,56,,
3966,M05372,Rheumatoid heart disease with rheumatoid arthritis of left ankle and foot,Y,,,,,56,,
3967,M05379,Rheumatoid heart disease with rheumatoid arthritis of unspecified ankle and foot,Y,,,,,56,,
3968,M0539,Rheumatoid heart disease with rheumatoid arthritis of multiple sites,Y,,,,,56,,
3969,M0540,Rheumatoid myopathy with rheumatoid arthritis of unspecified site,Y,,,,,56,,
3970,M05411,Rheumatoid myopathy with rheumatoid arthritis of right shoulder,Y,,,,,56,,
3971,M05412,Rheumatoid myopathy with rheumatoid arthritis of left shoulder,Y,,,,,56,,
3972,M05419,Rheumatoid myopathy with rheumatoid arthritis of unspecified shoulder,Y,,,,,56,,
3973,M05421,Rheumatoid myopathy with rheumatoid arthritis of right elbow,Y,,,,,56,,
3974,M05422,Rheumatoid myopathy with rheumatoid arthritis of left elbow,Y,,,,,56,,
3975,M05429,Rheumatoid myopathy with rheumatoid arthritis of unspecified elbow,Y,,,,,56,,
3976,M05431,Rheumatoid myopathy with rheumatoid arthritis of right wrist,Y,,,,,56,,
3977,M05432,Rheumatoid myopathy with rheumatoid arthritis of left wrist,Y,,,,,56,,
3978,M05439,Rheumatoid myopathy with rheumatoid arthritis of unspecified wrist,Y,,,,,56,,
3979,M05441,Rheumatoid myopathy with rheumatoid arthritis of right hand,Y,,,,,56,,
3980,M05442,Rheumatoid myopathy with rheumatoid arthritis of left hand,Y,,,,,56,,
3981,M05449,Rheumatoid myopathy with rheumatoid arthritis of unspecified hand,Y,,,,,56,,
3982,M05451,Rheumatoid myopathy with rheumatoid arthritis of right hip,Y,,,,,56,,
3983,M05452,Rheumatoid myopathy with rheumatoid arthritis of left hip,Y,,,,,56,,
3984,M05459,Rheumatoid myopathy with rheumatoid arthritis of unspecified hip,Y,,,,,56,,
3985,M05461,Rheumatoid myopathy with rheumatoid arthritis of right knee,Y,,,,,56,,
3986,M05462,Rheumatoid myopathy with rheumatoid arthritis of left knee,Y,,,,,56,,
3987,M05469,Rheumatoid myopathy with rheumatoid arthritis of unspecified knee,Y,,,,,56,,
3988,M05471,Rheumatoid myopathy with rheumatoid arthritis of right ankle and foot,Y,,,,,56,,
3989,M05472,Rheumatoid myopathy with rheumatoid arthritis of left ankle and foot,Y,,,,,56,,
3990,M05479,Rheumatoid myopathy with rheumatoid arthritis of unspecified ankle and foot,Y,,,,,56,,
3991,M0549,Rheumatoid myopathy with rheumatoid arthritis of multiple sites,Y,,,,,56,,
3992,M0550,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified site,Y,,,,,56,115,
3993,M05511,Rheumatoid polyneuropathy with rheumatoid arthritis of right shoulder,Y,,,,,56,115,
3994,M05512,Rheumatoid polyneuropathy with rheumatoid arthritis of left shoulder,Y,,,,,56,115,
3995,M05519,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified shoulder,Y,,,,,56,115,
3996,M05521,Rheumatoid polyneuropathy with rheumatoid arthritis of right elbow,Y,,,,,56,115,
3997,M05522,Rheumatoid polyneuropathy with rheumatoid arthritis of left elbow,Y,,,,,56,115,
3998,M05529,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified elbow,Y,,,,,56,115,
3999,M05531,Rheumatoid polyneuropathy with rheumatoid arthritis of right wrist,Y,,,,,56,115,
4000,M05532,Rheumatoid polyneuropathy with rheumatoid arthritis of left wrist,Y,,,,,56,115,
4001,M05539,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified wrist,Y,,,,,56,115,
4002,M05541,Rheumatoid polyneuropathy with rheumatoid arthritis of right hand,Y,,,,,56,115,
4003,M05542,Rheumatoid polyneuropathy with rheumatoid arthritis of left hand,Y,,,,,56,115,
4004,M05549,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hand,Y,,,,,56,115,
4005,M05551,Rheumatoid polyneuropathy with rheumatoid arthritis of right hip,Y,,,,,56,115,
4006,M05552,Rheumatoid polyneuropathy with rheumatoid arthritis of left hip,Y,,,,,56,115,
4007,M05559,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hip,Y,,,,,56,115,
4008,M05561,Rheumatoid polyneuropathy with rheumatoid arthritis of right knee,Y,,,,,56,115,
4009,M05562,Rheumatoid polyneuropathy with rheumatoid arthritis of left knee,Y,,,,,56,115,
4010,M05569,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified knee,Y,,,,,56,115,
4011,M05571,Rheumatoid polyneuropathy with rheumatoid arthritis of right ankle and foot,Y,,,,,56,115,
4012,M05572,Rheumatoid polyneuropathy with rheumatoid arthritis of left ankle and foot,Y,,,,,56,115,
4013,M05579,Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified ankle and foot,Y,,,,,56,115,
4014,M0559,Rheumatoid polyneuropathy with rheumatoid arthritis of multiple sites,Y,,,,,56,115,
4015,M0560,Rheumatoid arthritis of unspecified site with involvement of other organs and systems,Y,,,,,56,,
4016,M05611,Rheumatoid arthritis of right shoulder with involvement of other organs and systems,Y,,,,,56,,
4017,M05612,Rheumatoid arthritis of left shoulder with involvement of other organs and systems,Y,,,,,56,,
4018,M05619,Rheumatoid arthritis of unspecified shoulder with involvement of other organs and systems,Y,,,,,56,,
4019,M05621,Rheumatoid arthritis of right elbow with involvement of other organs and systems,Y,,,,,56,,
4020,M05622,Rheumatoid arthritis of left elbow with involvement of other organs and systems,Y,,,,,56,,
4021,M05629,Rheumatoid arthritis of unspecified elbow with involvement of other organs and systems,Y,,,,,56,,
4022,M05631,Rheumatoid arthritis of right wrist with involvement of other organs and systems,Y,,,,,56,,
4023,M05632,Rheumatoid arthritis of left wrist with involvement of other organs and systems,Y,,,,,56,,
4024,M05639,Rheumatoid arthritis of unspecified wrist with involvement of other organs and systems,Y,,,,,56,,
4025,M05641,Rheumatoid arthritis of right hand with involvement of other organs and systems,Y,,,,,56,,
4026,M05642,Rheumatoid arthritis of left hand with involvement of other organs and systems,Y,,,,,56,,
4027,M05649,Rheumatoid arthritis of unspecified hand with involvement of other organs and systems,Y,,,,,56,,
4028,M05651,Rheumatoid arthritis of right hip with involvement of other organs and systems,Y,,,,,56,,
4029,M05652,Rheumatoid arthritis of left hip with involvement of other organs and systems,Y,,,,,56,,
4030,M05659,Rheumatoid arthritis of unspecified hip with involvement of other organs and systems,Y,,,,,56,,
4031,M05661,Rheumatoid arthritis of right knee with involvement of other organs and systems,Y,,,,,56,,
4032,M05662,Rheumatoid arthritis of left knee with involvement of other organs and systems,Y,,,,,56,,
4033,M05669,Rheumatoid arthritis of unspecified knee with involvement of other organs and systems,Y,,,,,56,,
4034,M05671,Rheumatoid arthritis of right ankle and foot with involvement of other organs and systems,Y,,,,,56,,
4035,M05672,Rheumatoid arthritis of left ankle and foot with involvement of other organs and systems,Y,,,,,56,,
4036,M05679,Rheumatoid arthritis of unspecified ankle and foot with involvement of other organs and systems,Y,,,,,56,,
4037,M0569,Rheumatoid arthritis of multiple sites with involvement of other organs and systems,Y,,,,,56,,
4038,M0570,Rheumatoid arthritis with rheumatoid factor of unspecified site without organ or systems involvement,Y,,,,,56,,
4039,M05711,Rheumatoid arthritis with rheumatoid factor of right shoulder without organ or systems involvement,Y,,,,,56,,
4040,M05712,Rheumatoid arthritis with rheumatoid factor of left shoulder without organ or systems involvement,Y,,,,,56,,
4041,M05719,Rheumatoid arthritis with rheumatoid factor of unspecified shoulder without organ or systems involvement,Y,,,,,56,,
4042,M05721,Rheumatoid arthritis with rheumatoid factor of right elbow without organ or systems involvement,Y,,,,,56,,
4043,M05722,Rheumatoid arthritis with rheumatoid factor of left elbow without organ or systems involvement,Y,,,,,56,,
4044,M05729,Rheumatoid arthritis with rheumatoid factor of unspecified elbow without organ or systems involvement,Y,,,,,56,,
4045,M05731,Rheumatoid arthritis with rheumatoid factor of right wrist without organ or systems involvement,Y,,,,,56,,
4046,M05732,Rheumatoid arthritis with rheumatoid factor of left wrist without organ or systems involvement,Y,,,,,56,,
4047,M05739,Rheumatoid arthritis with rheumatoid factor of unspecified wrist without organ or systems involvement,Y,,,,,56,,
4048,M05741,Rheumatoid arthritis with rheumatoid factor of right hand without organ or systems involvement,Y,,,,,56,,
4049,M05742,Rheumatoid arthritis with rheumatoid factor of left hand without organ or systems involvement,Y,,,,,56,,
4050,M05749,Rheumatoid arthritis with rheumatoid factor of unspecified hand without organ or systems involvement,Y,,,,,56,,
4051,M05751,Rheumatoid arthritis with rheumatoid factor of right hip without organ or systems involvement,Y,,,,,56,,
4052,M05752,Rheumatoid arthritis with rheumatoid factor of left hip without organ or systems involvement,Y,,,,,56,,
4053,M05759,Rheumatoid arthritis with rheumatoid factor of unspecified hip without organ or systems involvement,Y,,,,,56,,
4054,M05761,Rheumatoid arthritis with rheumatoid factor of right knee without organ or systems involvement,Y,,,,,56,,
4055,M05762,Rheumatoid arthritis with rheumatoid factor of left knee without organ or systems involvement,Y,,,,,56,,
4056,M05769,Rheumatoid arthritis with rheumatoid factor of unspecified knee without organ or systems involvement,Y,,,,,56,,
4057,M05771,Rheumatoid arthritis with rheumatoid factor of right ankle and foot without organ or systems involvement,Y,,,,,56,,
4058,M05772,Rheumatoid arthritis with rheumatoid factor of left ankle and foot without organ or systems involvement,Y,,,,,56,,
4059,M05779,Rheumatoid arthritis with rheumatoid factor of unspecified ankle and foot without organ or systems involvement,Y,,,,,56,,
4060,M0579,Rheumatoid arthritis with rheumatoid factor of multiple sites without organ or systems involvement,Y,,,,,56,,
4061,M0580,Other rheumatoid arthritis with rheumatoid factor of unspecified site,Y,,,,,56,,
4062,M05811,Other rheumatoid arthritis with rheumatoid factor of right shoulder,Y,,,,,56,,
4063,M05812,Other rheumatoid arthritis with rheumatoid factor of left shoulder,Y,,,,,56,,
4064,M05819,Other rheumatoid arthritis with rheumatoid factor of unspecified shoulder,Y,,,,,56,,
4065,M05821,Other rheumatoid arthritis with rheumatoid factor of right elbow,Y,,,,,56,,
4066,M05822,Other rheumatoid arthritis with rheumatoid factor of left elbow,Y,,,,,56,,
4067,M05829,Other rheumatoid arthritis with rheumatoid factor of unspecified elbow,Y,,,,,56,,
4068,M05831,Other rheumatoid arthritis with rheumatoid factor of right wrist,Y,,,,,56,,
4069,M05832,Other rheumatoid arthritis with rheumatoid factor of left wrist,Y,,,,,56,,
4070,M05839,Other rheumatoid arthritis with rheumatoid factor of unspecified wrist,Y,,,,,56,,
4071,M05841,Other rheumatoid arthritis with rheumatoid factor of right hand,Y,,,,,56,,
4072,M05842,Other rheumatoid arthritis with rheumatoid factor of left hand,Y,,,,,56,,
4073,M05849,Other rheumatoid arthritis with rheumatoid factor of unspecified hand,Y,,,,,56,,
4074,M05851,Other rheumatoid arthritis with rheumatoid factor of right hip,Y,,,,,56,,
4075,M05852,Other rheumatoid arthritis with rheumatoid factor of left hip,Y,,,,,56,,
4076,M05859,Other rheumatoid arthritis with rheumatoid factor of unspecified hip,Y,,,,,56,,
4077,M05861,Other rheumatoid arthritis with rheumatoid factor of right knee,Y,,,,,56,,
4078,M05862,Other rheumatoid arthritis with rheumatoid factor of left knee,Y,,,,,56,,
4079,M05869,Other rheumatoid arthritis with rheumatoid factor of unspecified knee,Y,,,,,56,,
4080,M05871,Other rheumatoid arthritis with rheumatoid factor of right ankle and foot,Y,,,,,56,,
4081,M05872,Other rheumatoid arthritis with rheumatoid factor of left ankle and foot,Y,,,,,56,,
4082,M05879,Other rheumatoid arthritis with rheumatoid factor of unspecified ankle and foot,Y,,,,,56,,
4083,M0589,Other rheumatoid arthritis with rheumatoid factor of multiple sites,Y,,,,,56,,
4084,M059,"Rheumatoid arthritis with rheumatoid factor, unspecified",Y,,,,,56,,
4085,M0600,"Rheumatoid arthritis without rheumatoid factor, unspecified site",Y,,,,,56,,
4086,M06011,"Rheumatoid arthritis without rheumatoid factor, right shoulder",Y,,,,,56,,
4087,M06012,"Rheumatoid arthritis without rheumatoid factor, left shoulder",Y,,,,,56,,
4088,M06019,"Rheumatoid arthritis without rheumatoid factor, unspecified shoulder",Y,,,,,56,,
4089,M06021,"Rheumatoid arthritis without rheumatoid factor, right elbow",Y,,,,,56,,
4090,M06022,"Rheumatoid arthritis without rheumatoid factor, left elbow",Y,,,,,56,,
4091,M06029,"Rheumatoid arthritis without rheumatoid factor, unspecified elbow",Y,,,,,56,,
4092,M06031,"Rheumatoid arthritis without rheumatoid factor, right wrist",Y,,,,,56,,
4093,M06032,"Rheumatoid arthritis without rheumatoid factor, left wrist",Y,,,,,56,,
4094,M06039,"Rheumatoid arthritis without rheumatoid factor, unspecified wrist",Y,,,,,56,,
4095,M06041,"Rheumatoid arthritis without rheumatoid factor, right hand",Y,,,,,56,,
4096,M06042,"Rheumatoid arthritis without rheumatoid factor, left hand",Y,,,,,56,,
4097,M06049,"Rheumatoid arthritis without rheumatoid factor, unspecified hand",Y,,,,,56,,
4098,M06051,"Rheumatoid arthritis without rheumatoid factor, right hip",Y,,,,,56,,
4099,M06052,"Rheumatoid arthritis without rheumatoid factor, left hip",Y,,,,,56,,
4100,M06059,"Rheumatoid arthritis without rheumatoid factor, unspecified hip",Y,,,,,56,,
4101,M06061,"Rheumatoid arthritis without rheumatoid factor, right knee",Y,,,,,56,,
4102,M06062,"Rheumatoid arthritis without rheumatoid factor, left knee",Y,,,,,56,,
4103,M06069,"Rheumatoid arthritis without rheumatoid factor, unspecified knee",Y,,,,,56,,
4104,M06071,"Rheumatoid arthritis without rheumatoid factor, right ankle and foot",Y,,,,,56,,
4105,M06072,"Rheumatoid arthritis without rheumatoid factor, left ankle and foot",Y,,,,,56,,
4106,M06079,"Rheumatoid arthritis without rheumatoid factor, unspecified ankle and foot",Y,,,,,56,,
4107,M0608,"Rheumatoid arthritis without rheumatoid factor, vertebrae",Y,,,,,56,,
4108,M0609,"Rheumatoid arthritis without rheumatoid factor, multiple sites",Y,,,,,56,,
4109,M061,Adult-onset Still's disease,Y,age >=15,,,,56,,
4110,M0620,"Rheumatoid bursitis, unspecified site",Y,,,,,56,,
4111,M06211,"Rheumatoid bursitis, right shoulder",Y,,,,,56,,
4112,M06212,"Rheumatoid bursitis, left shoulder",Y,,,,,56,,
4113,M06219,"Rheumatoid bursitis, unspecified shoulder",Y,,,,,56,,
4114,M06221,"Rheumatoid bursitis, right elbow",Y,,,,,56,,
4115,M06222,"Rheumatoid bursitis, left elbow",Y,,,,,56,,
4116,M06229,"Rheumatoid bursitis, unspecified elbow",Y,,,,,56,,
4117,M06231,"Rheumatoid bursitis, right wrist",Y,,,,,56,,
4118,M06232,"Rheumatoid bursitis, left wrist",Y,,,,,56,,
4119,M06239,"Rheumatoid bursitis, unspecified wrist",Y,,,,,56,,
4120,M06241,"Rheumatoid bursitis, right hand",Y,,,,,56,,
4121,M06242,"Rheumatoid bursitis, left hand",Y,,,,,56,,
4122,M06249,"Rheumatoid bursitis, unspecified hand",Y,,,,,56,,
4123,M06251,"Rheumatoid bursitis, right hip",Y,,,,,56,,
4124,M06252,"Rheumatoid bursitis, left hip",Y,,,,,56,,
4125,M06259,"Rheumatoid bursitis, unspecified hip",Y,,,,,56,,
4126,M06261,"Rheumatoid bursitis, right knee",Y,,,,,56,,
4127,M06262,"Rheumatoid bursitis, left knee",Y,,,,,56,,
4128,M06269,"Rheumatoid bursitis, unspecified knee",Y,,,,,56,,
4129,M06271,"Rheumatoid bursitis, right ankle and foot",Y,,,,,56,,
4130,M06272,"Rheumatoid bursitis, left ankle and foot",Y,,,,,56,,
4131,M06279,"Rheumatoid bursitis, unspecified ankle and foot",Y,,,,,56,,
4132,M0628,"Rheumatoid bursitis, vertebrae",Y,,,,,56,,
4133,M0629,"Rheumatoid bursitis, multiple sites",Y,,,,,56,,
4134,M0630,"Rheumatoid nodule, unspecified site",Y,,,,,56,,
4135,M06311,"Rheumatoid nodule, right shoulder",Y,,,,,56,,
4136,M06312,"Rheumatoid nodule, left shoulder",Y,,,,,56,,
4137,M06319,"Rheumatoid nodule, unspecified shoulder",Y,,,,,56,,
4138,M06321,"Rheumatoid nodule, right elbow",Y,,,,,56,,
4139,M06322,"Rheumatoid nodule, left elbow",Y,,,,,56,,
4140,M06329,"Rheumatoid nodule, unspecified elbow",Y,,,,,56,,
4141,M06331,"Rheumatoid nodule, right wrist",Y,,,,,56,,
4142,M06332,"Rheumatoid nodule, left wrist",Y,,,,,56,,
4143,M06339,"Rheumatoid nodule, unspecified wrist",Y,,,,,56,,
4144,M06341,"Rheumatoid nodule, right hand",Y,,,,,56,,
4145,M06342,"Rheumatoid nodule, left hand",Y,,,,,56,,
4146,M06349,"Rheumatoid nodule, unspecified hand",Y,,,,,56,,
4147,M06351,"Rheumatoid nodule, right hip",Y,,,,,56,,
4148,M06352,"Rheumatoid nodule, left hip",Y,,,,,56,,
4149,M06359,"Rheumatoid nodule, unspecified hip",Y,,,,,56,,
4150,M06361,"Rheumatoid nodule, right knee",Y,,,,,56,,
4151,M06362,"Rheumatoid nodule, left knee",Y,,,,,56,,
4152,M06369,"Rheumatoid nodule, unspecified knee",Y,,,,,56,,
4153,M06371,"Rheumatoid nodule, right ankle and foot",Y,,,,,56,,
4154,M06372,"Rheumatoid nodule, left ankle and foot",Y,,,,,56,,
4155,M06379,"Rheumatoid nodule, unspecified ankle and foot",Y,,,,,56,,
4156,M0638,"Rheumatoid nodule, vertebrae",Y,,,,,56,,
4157,M0639,"Rheumatoid nodule, multiple sites",Y,,,,,56,,
4158,M064,Inflammatory polyarthropathy,Y,,,,,57,,
4159,M0680,"Other specified rheumatoid arthritis, unspecified site",Y,,,,,56,,
4160,M06811,"Other specified rheumatoid arthritis, right shoulder",Y,,,,,56,,
4161,M06812,"Other specified rheumatoid arthritis, left shoulder",Y,,,,,56,,
4162,M06819,"Other specified rheumatoid arthritis, unspecified shoulder",Y,,,,,56,,
4163,M06821,"Other specified rheumatoid arthritis, right elbow",Y,,,,,56,,
4164,M06822,"Other specified rheumatoid arthritis, left elbow",Y,,,,,56,,
4165,M06829,"Other specified rheumatoid arthritis, unspecified elbow",Y,,,,,56,,
4166,M06831,"Other specified rheumatoid arthritis, right wrist",Y,,,,,56,,
4167,M06832,"Other specified rheumatoid arthritis, left wrist",Y,,,,,56,,
4168,M06839,"Other specified rheumatoid arthritis, unspecified wrist",Y,,,,,56,,
4169,M06841,"Other specified rheumatoid arthritis, right hand",Y,,,,,56,,
4170,M06842,"Other specified rheumatoid arthritis, left hand",Y,,,,,56,,
4171,M06849,"Other specified rheumatoid arthritis, unspecified hand",Y,,,,,56,,
4172,M06851,"Other specified rheumatoid arthritis, right hip",Y,,,,,56,,
4173,M06852,"Other specified rheumatoid arthritis, left hip",Y,,,,,56,,
4174,M06859,"Other specified rheumatoid arthritis, unspecified hip",Y,,,,,56,,
4175,M06861,"Other specified rheumatoid arthritis, right knee",Y,,,,,56,,
4176,M06862,"Other specified rheumatoid arthritis, left knee",Y,,,,,56,,
4177,M06869,"Other specified rheumatoid arthritis, unspecified knee",Y,,,,,56,,
4178,M06871,"Other specified rheumatoid arthritis, right ankle and foot",Y,,,,,56,,
4179,M06872,"Other specified rheumatoid arthritis, left ankle and foot",Y,,,,,56,,
4180,M06879,"Other specified rheumatoid arthritis, unspecified ankle and foot",Y,,,,,56,,
4181,M0688,"Other specified rheumatoid arthritis, vertebrae",Y,,,,,56,,
4182,M0689,"Other specified rheumatoid arthritis, multiple sites",Y,,,,,56,,
4183,M069,"Rheumatoid arthritis, unspecified",Y,,,,,56,,
4184,M0800,Unspecified juvenile rheumatoid arthritis of unspecified site,Y,,,,,56,,
4185,M08011,"Unspecified juvenile rheumatoid arthritis, right shoulder",Y,,,,,56,,
4186,M08012,"Unspecified juvenile rheumatoid arthritis, left shoulder",Y,,,,,56,,
4187,M08019,"Unspecified juvenile rheumatoid arthritis, unspecified shoulder",Y,,,,,56,,
4188,M08021,"Unspecified juvenile rheumatoid arthritis, right elbow",Y,,,,,56,,
4189,M08022,"Unspecified juvenile rheumatoid arthritis, left elbow",Y,,,,,56,,
4190,M08029,"Unspecified juvenile rheumatoid arthritis, unspecified elbow",Y,,,,,56,,
4191,M08031,"Unspecified juvenile rheumatoid arthritis, right wrist",Y,,,,,56,,
4192,M08032,"Unspecified juvenile rheumatoid arthritis, left wrist",Y,,,,,56,,
4193,M08039,"Unspecified juvenile rheumatoid arthritis, unspecified wrist",Y,,,,,56,,
4194,M08041,"Unspecified juvenile rheumatoid arthritis, right hand",Y,,,,,56,,
4195,M08042,"Unspecified juvenile rheumatoid arthritis, left hand",Y,,,,,56,,
4196,M08049,"Unspecified juvenile rheumatoid arthritis, unspecified hand",Y,,,,,56,,
4197,M08051,"Unspecified juvenile rheumatoid arthritis, right hip",Y,,,,,56,,
4198,M08052,"Unspecified juvenile rheumatoid arthritis, left hip",Y,,,,,56,,
4199,M08059,"Unspecified juvenile rheumatoid arthritis, unspecified hip",Y,,,,,56,,
4200,M08061,"Unspecified juvenile rheumatoid arthritis, right knee",Y,,,,,56,,
4201,M08062,"Unspecified juvenile rheumatoid arthritis, left knee",Y,,,,,56,,
4202,M08069,"Unspecified juvenile rheumatoid arthritis, unspecified knee",Y,,,,,56,,
4203,M08071,"Unspecified juvenile rheumatoid arthritis, right ankle and foot",Y,,,,,56,,
4204,M08072,"Unspecified juvenile rheumatoid arthritis, left ankle and foot",Y,,,,,56,,
4205,M08079,"Unspecified juvenile rheumatoid arthritis, unspecified ankle and foot",Y,,,,,56,,
4206,M0808,"Unspecified juvenile rheumatoid arthritis, vertebrae",Y,,,,,56,,
4207,M0809,"Unspecified juvenile rheumatoid arthritis, multiple sites",Y,,,,,56,,
4208,M081,Juvenile ankylosing spondylitis,Y,,,,,56,,
4209,M0820,"Juvenile rheumatoid arthritis with systemic onset, unspecified site",Y,,,,,56,,
4210,M08211,"Juvenile rheumatoid arthritis with systemic onset, right shoulder",Y,,,,,56,,
4211,M08212,"Juvenile rheumatoid arthritis with systemic onset, left shoulder",Y,,,,,56,,
4212,M08219,"Juvenile rheumatoid arthritis with systemic onset, unspecified shoulder",Y,,,,,56,,
4213,M08221,"Juvenile rheumatoid arthritis with systemic onset, right elbow",Y,,,,,56,,
4214,M08222,"Juvenile rheumatoid arthritis with systemic onset, left elbow",Y,,,,,56,,
4215,M08229,"Juvenile rheumatoid arthritis with systemic onset, unspecified elbow",Y,,,,,56,,
4216,M08231,"Juvenile rheumatoid arthritis with systemic onset, right wrist",Y,,,,,56,,
4217,M08232,"Juvenile rheumatoid arthritis with systemic onset, left wrist",Y,,,,,56,,
4218,M08239,"Juvenile rheumatoid arthritis with systemic onset, unspecified wrist",Y,,,,,56,,
4219,M08241,"Juvenile rheumatoid arthritis with systemic onset, right hand",Y,,,,,56,,
4220,M08242,"Juvenile rheumatoid arthritis with systemic onset, left hand",Y,,,,,56,,
4221,M08249,"Juvenile rheumatoid arthritis with systemic onset, unspecified hand",Y,,,,,56,,
4222,M08251,"Juvenile rheumatoid arthritis with systemic onset, right hip",Y,,,,,56,,
4223,M08252,"Juvenile rheumatoid arthritis with systemic onset, left hip",Y,,,,,56,,
4224,M08259,"Juvenile rheumatoid arthritis with systemic onset, unspecified hip",Y,,,,,56,,
4225,M08261,"Juvenile rheumatoid arthritis with systemic onset, right knee",Y,,,,,56,,
4226,M08262,"Juvenile rheumatoid arthritis with systemic onset, left knee",Y,,,,,56,,
4227,M08269,"Juvenile rheumatoid arthritis with systemic onset, unspecified knee",Y,,,,,56,,
4228,M08271,"Juvenile rheumatoid arthritis with systemic onset, right ankle and foot",Y,,,,,56,,
4229,M08272,"Juvenile rheumatoid arthritis with systemic onset, left ankle and foot",Y,,,,,56,,
4230,M08279,"Juvenile rheumatoid arthritis with systemic onset, unspecified ankle and foot",Y,,,,,56,,
4231,M0828,"Juvenile rheumatoid arthritis with systemic onset, vertebrae",Y,,,,,56,,
4232,M0829,"Juvenile rheumatoid arthritis with systemic onset, multiple sites",Y,,,,,56,,
4233,M083,Juvenile rheumatoid polyarthritis (seronegative),Y,,,,,56,,
4234,M0840,"Pauciarticular juvenile rheumatoid arthritis, unspecified site",Y,,,,,56,,
4235,M08411,"Pauciarticular juvenile rheumatoid arthritis, right shoulder",Y,,,,,56,,
4236,M08412,"Pauciarticular juvenile rheumatoid arthritis, left shoulder",Y,,,,,56,,
4237,M08419,"Pauciarticular juvenile rheumatoid arthritis, unspecified shoulder",Y,,,,,56,,
4238,M08421,"Pauciarticular juvenile rheumatoid arthritis, right elbow",Y,,,,,56,,
4239,M08422,"Pauciarticular juvenile rheumatoid arthritis, left elbow",Y,,,,,56,,
4240,M08429,"Pauciarticular juvenile rheumatoid arthritis, unspecified elbow",Y,,,,,56,,
4241,M08431,"Pauciarticular juvenile rheumatoid arthritis, right wrist",Y,,,,,56,,
4242,M08432,"Pauciarticular juvenile rheumatoid arthritis, left wrist",Y,,,,,56,,
4243,M08439,"Pauciarticular juvenile rheumatoid arthritis, unspecified wrist",Y,,,,,56,,
4244,M08441,"Pauciarticular juvenile rheumatoid arthritis, right hand",Y,,,,,56,,
4245,M08442,"Pauciarticular juvenile rheumatoid arthritis, left hand",Y,,,,,56,,
4246,M08449,"Pauciarticular juvenile rheumatoid arthritis, unspecified hand",Y,,,,,56,,
4247,M08451,"Pauciarticular juvenile rheumatoid arthritis, right hip",Y,,,,,56,,
4248,M08452,"Pauciarticular juvenile rheumatoid arthritis, left hip",Y,,,,,56,,
4249,M08459,"Pauciarticular juvenile rheumatoid arthritis, unspecified hip",Y,,,,,56,,
4250,M08461,"Pauciarticular juvenile rheumatoid arthritis, right knee",Y,,,,,56,,
4251,M08462,"Pauciarticular juvenile rheumatoid arthritis, left knee",Y,,,,,56,,
4252,M08469,"Pauciarticular juvenile rheumatoid arthritis, unspecified knee",Y,,,,,56,,
4253,M08471,"Pauciarticular juvenile rheumatoid arthritis, right ankle and foot",Y,,,,,56,,
4254,M08472,"Pauciarticular juvenile rheumatoid arthritis, left ankle and foot",Y,,,,,56,,
4255,M08479,"Pauciarticular juvenile rheumatoid arthritis, unspecified ankle and foot",Y,,,,,56,,
4256,M0848,"Pauciarticular juvenile rheumatoid arthritis, vertebrae",Y,,,,,56,,
4257,M0880,"Other juvenile arthritis, unspecified site",Y,,,,,56,,
4258,M08811,"Other juvenile arthritis, right shoulder",Y,,,,,56,,
4259,M08812,"Other juvenile arthritis, left shoulder",Y,,,,,56,,
